,BatteryPower,InternalMemory,ClockSpeed,NoOfCores,RAM,TalkTime,DualSim,3G,4G,WiFi,Bluetooth,MobileDepth,MobileWeight,TouchScreen,ScreenHeight,ScreenWidth,FrontCameraPx,RearCameraPX,PriceRange,Total Resolution
38,790,11,2.0,6,3169,2,1,1,1,1,0,0.3,87,0,6,1,16,17,2,253310
39,560,50,0.5,2,2150,11,1,1,0,0,0,0.3,159,1,18,12,15,20,2,2335624
40,1347,44,2.9,1,2484,11,0,1,0,1,0,0.6,132,0,18,2,5,14,2,419678
41,1646,41,2.3,2,3339,19,0,1,1,0,1,0.2,185,1,18,10,8,10,3,3332700
42,1253,5,0.5,2,1878,4,1,1,1,0,1,0.2,152,1,15,0,5,19,1,489090
43,1656,34,1.0,3,1629,14,0,1,1,0,0,0.1,166,1,15,12,5,7,1,1281280
44,1195,20,2.8,2,504,12,0,1,1,0,1,0.8,110,1,9,3,1,14,0,2610160
45,1514,27,2.9,3,1152,20,0,0,0,1,0,0.2,118,1,8,3,0,1,1,336660
46,1723,42,1.1,8,3587,3,1,1,0,0,1,1.0,164,0,10,5,1,14,3,361782
47,1054,40,1.8,7,2296,12,1,1,1,1,1,0.8,196,0,16,12,3,10,1,20898
48,578,57,2.6,8,1270,5,1,1,1,1,1,0.2,162,0,15,3,2,8,0,1468825
49,596,64,2.1,8,3238,10,1,0,0,0,0,0.8,111,0,16,13,9,15,3,1640790
50,1547,14,3.0,3,2059,15,1,1,1,1,1,0.7,198,0,5,0,2,19,2,1908944
51,1760,63,1.4,8,2053,16,1,0,0,0,0,0.8,127,1,19,12,5,19,2,1911306
52,1654,43,1.5,2,3112,10,1,1,1,0,1,0.3,109,1,12,5,0,0,3,343434
53,1457,16,1.9,3,1440,12,1,1,1,1,0,0.3,102,0,17,8,1,10,1,1303731
54,1073,51,0.5,7,2908,18,1,0,0,0,1,0.5,145,1,6,0,0,0,2,554760
55,1936,46,2.1,3,2552,13,1,1,1,0,0,0.6,104,0,14,7,10,20,2,691012
56,823,60,2.7,8,905,17,1,1,0,1,1,0.5,148,1,14,11,13,19,0,1191078
57,987,61,1.3,3,3963,20,1,1,1,1,0,0.4,107,0,9,4,0,9,3,476420
58,1757,49,0.5,6,2056,4,0,0,0,0,0,0.5,180,0,7,5,8,14,1,188945
59,1063,48,1.4,5,2910,9,1,1,1,1,0,1.0,128,1,15,13,2,4,2,86741
60,1484,12,3.0,3,1457,20,0,1,0,0,0,0.6,134,1,14,4,3,5,1,887604
61,799,63,2.3,8,431,6,0,1,1,1,1,0.8,144,1,15,6,1,6,0,351975
62,1156,50,1.2,2,470,15,1,1,1,0,1,0.8,159,1,7,0,0,0,0,176134
63,1720,55,2.0,2,2148,5,0,1,1,1,0,0.5,168,1,14,2,15,18,2,1018809
64,702,9,2.6,3,2955,19,1,1,1,0,0,0.7,141,0,10,4,2,3,2,791280
65,616,44,1.9,3,3366,13,1,1,1,0,0,0.8,81,1,18,8,13,17,3,1053318
66,1358,36,0.5,4,3068,4,0,1,1,0,1,0.3,155,1,9,4,11,14,3,2907770
67,1866,30,1.4,3,3834,8,0,0,0,0,0,0.5,182,0,16,11,0,0,3,192348
68,1242,10,1.1,2,1050,4,1,1,0,1,0,0.6,165,0,11,1,0,1,0,562275
69,1166,43,1.5,4,3993,7,1,1,1,0,0,0.8,80,1,7,1,0,1,3,123615
70,1448,45,0.5,7,3378,2,1,1,1,1,1,0.8,138,1,13,11,6,11,3,982680
71,1407,22,2.4,4,2192,13,0,1,1,1,1,0.7,104,0,9,7,1,4,2,1426324
72,605,9,1.0,3,392,4,0,1,1,0,0,0.1,142,0,15,6,8,16,0,164160
73,1038,43,1.2,1,3709,12,0,1,0,1,0,0.7,141,1,11,0,3,5,3,2552
74,797,38,2.9,4,590,6,1,0,0,0,1,0.5,90,1,9,2,4,6,0,1078119
75,819,42,0.6,6,1814,13,1,1,1,1,0,0.9,188,0,5,4,8,20,1,421038
76,1114,9,2.8,3,907,17,0,1,1,0,0,0.4,197,1,10,7,4,15,0,1113840
77,1234,33,1.6,1,1449,6,1,0,0,1,1,0.6,172,0,11,7,1,3,0,129148
78,1199,16,2.5,4,3448,10,1,1,1,1,1,0.2,116,0,17,13,15,20,3,1812736
79,1103,29,1.0,6,1837,16,1,0,0,1,0,0.7,111,1,8,7,6,8,1,1471140
80,1589,58,0.6,7,3464,6,1,1,1,1,1,0.9,85,1,19,10,0,7,3,384714
81,999,64,2.9,4,2593,16,1,1,1,0,0,0.2,199,1,14,11,11,19,2,2257552
82,1510,45,0.9,5,3484,11,1,0,0,1,1,0.9,180,1,9,6,2,3,3,1240416
83,1008,61,0.8,3,2009,11,0,1,0,0,0,1.0,114,0,10,3,11,15,1,1208394
84,1127,57,2.9,1,2048,17,1,1,1,1,1,0.8,163,1,11,5,5,13,1,973472
85,1412,25,2.4,8,837,4,0,0,0,1,1,0.8,96,0,15,9,5,17,1,977304
86,1496,42,2.0,5,854,7,1,0,0,1,1,0.5,182,1,16,0,4,5,0,71136
87,1083,64,2.9,3,3210,4,1,1,1,0,1,0.8,178,0,13,3,1,11,3,1145950
88,668,3,0.5,5,2746,8,1,1,0,1,0,0.1,155,1,9,5,0,13,2,801198
89,1309,33,1.1,4,2334,11,1,1,0,1,0,0.5,100,0,10,1,0,14,2,780914
90,1724,57,2.0,3,2822,16,1,1,1,0,0,0.5,177,1,19,3,2,5,3,3088020
91,1977,54,2.0,7,1971,14,1,1,1,0,1,1.0,171,1,18,7,7,18,2,1522692
92,885,15,2.3,7,1410,5,1,1,1,1,0,0.4,103,1,16,10,0,0,0,616738
93,879,14,2.5,6,349,2,0,1,1,1,1,0.7,83,0,16,10,11,15,0,445315
94,1322,7,1.7,3,1418,12,1,0,0,0,0,0.8,140,1,19,17,6,9,1,352230
95,1137,7,1.0,3,3616,12,0,1,0,1,1,1.0,196,1,13,5,18,19,3,1110618
96,1355,23,2.3,5,880,8,0,1,1,0,0,0.2,132,1,19,4,10,16,0,580041
97,1665,60,0.5,6,1601,14,0,1,1,0,1,0.2,194,0,18,17,3,18,2,2647248
98,657,37,2.5,2,1412,18,0,0,0,0,0,0.7,141,1,14,3,0,1,0,457436
99,593,31,0.5,7,1692,7,0,1,0,0,0,0.4,156,0,6,2,6,7,1,1623861
100,1883,10,0.5,6,2600,20,0,1,1,0,1,0.3,146,0,16,8,3,13,3,1453804
101,1732,12,1.1,8,1308,11,0,1,1,1,1,0.8,119,0,16,7,4,9,1,725944
102,543,57,0.5,5,2413,15,0,1,0,0,0,0.7,192,0,17,14,0,4,1,384744
103,1939,55,2.8,4,1047,18,1,1,1,0,1,0.6,199,1,14,10,0,10,0,166400
104,553,8,2.4,7,1204,8,1,1,1,1,0,0.5,121,1,11,4,1,3,0,293150
105,832,39,0.7,4,1799,11,1,1,1,1,0,0.7,103,0,5,2,2,3,1,188000
106,1661,23,1.9,5,2676,11,1,0,0,1,0,1.0,172,1,12,6,5,10,3,1382364
107,1657,42,2.4,5,2597,14,0,1,0,0,1,0.1,198,0,18,1,3,16,3,3178920
108,1135,46,2.0,1,3029,9,1,1,0,1,1,0.3,83,1,19,17,0,4,3,540878
109,1775,41,1.5,1,2343,14,0,1,0,1,1,0.1,163,1,19,13,3,7,3,3052077
110,783,43,1.8,3,2016,18,1,1,1,0,0,1.0,106,1,16,4,0,4,1,1762258
111,617,32,2.3,7,2213,7,0,0,0,0,1,0.5,199,0,18,13,0,20,1,671232
112,867,4,1.4,6,790,3,1,1,1,0,0,0.7,135,1,13,6,0,1,0,138180
113,1310,7,1.1,5,3182,5,1,1,0,0,1,1.0,194,1,8,4,13,14,2,60021
114,1804,22,0.5,7,3472,20,0,1,1,1,0,0.6,153,0,9,1,9,19,3,1440552
115,1900,18,2.3,7,2871,13,0,1,1,1,1,0.2,89,1,12,1,1,9,3,1752355
116,909,53,1.4,8,3187,4,0,1,0,0,1,0.3,82,0,12,9,0,0,2,617855
117,1084,40,2.6,3,1945,10,0,1,1,0,1,0.9,107,1,15,4,3,11,1,248262
118,1308,46,1.3,1,488,9,1,0,0,0,0,0.9,199,1,5,3,8,12,0,271975
119,1778,15,0.5,3,1214,14,0,1,0,0,0,0.5,102,0,5,0,0,0,1,2823530
120,1701,10,1.6,8,2598,6,1,0,0,0,1,0.3,194,1,12,9,3,7,2,735900
121,772,10,2.4,4,3242,4,1,1,1,0,1,0.5,80,1,18,11,1,2,3,2126304
122,825,52,0.5,3,3534,6,1,0,0,0,1,0.9,130,1,10,4,7,10,3,515211
123,1379,36,1.1,2,3426,17,0,1,1,1,0,0.8,200,1,5,4,5,7,3,740288
124,1166,25,2.0,5,2488,15,0,1,1,0,0,0.8,198,0,13,5,3,4,2,70977
125,1659,16,2.8,1,3255,9,0,0,0,1,0,0.6,89,0,19,14,5,20,3,738738
126,826,58,2.4,4,2863,18,1,1,1,1,1,0.3,88,0,9,3,0,1,2,140694
127,1564,25,2.3,6,1496,7,0,1,1,1,0,0.5,189,1,6,4,4,17,1,2473935
128,1957,31,0.9,3,3801,7,1,1,0,1,0,0.6,181,0,12,0,11,16,3,685872
129,1571,19,1.4,6,666,13,0,1,1,0,0,0.1,100,1,12,10,0,1,0,996774
130,1414,54,2.0,7,3799,7,1,1,0,1,0,0.8,99,0,17,7,2,3,3,217198
131,1790,2,2.5,1,1366,20,1,1,0,1,0,0.1,184,1,7,0,9,14,1,492624
132,645,41,0.5,7,2962,4,0,1,0,1,0,1.0,197,1,12,9,1,10,2,189660
133,668,30,2.9,8,2399,7,1,1,0,1,0,0.2,195,1,10,5,7,12,1,551232
134,1652,36,1.1,4,2338,20,1,0,0,0,1,0.7,89,0,12,8,1,5,2,395632
135,1213,16,0.5,5,2700,9,0,0,0,1,1,0.5,108,0,12,3,0,0,2,282048
136,1272,22,2.5,6,2235,4,1,1,0,0,1,0.9,133,0,19,4,0,8,1,404745
137,866,46,0.5,8,3825,2,1,1,1,1,0,0.5,179,1,12,11,5,7,3,1166712
138,536,3,2.4,7,284,4,1,1,1,0,0,0.3,182,1,12,9,12,14,0,2133054
139,523,14,2.6,8,1427,9,1,0,0,0,0,0.1,155,1,9,1,1,2,0,316768
140,1753,31,0.5,1,1324,17,1,1,1,1,0,0.1,134,0,17,0,0,18,2,3062340
141,1218,14,1.8,3,398,5,1,1,1,0,0,0.5,147,0,17,0,1,4,0,141064
142,1537,43,2.5,1,3685,17,0,1,1,1,1,0.3,137,1,18,17,4,5,3,948909
143,786,33,2.2,7,2390,5,1,1,0,1,0,0.5,141,0,12,11,0,6,2,860379
144,1678,64,2.1,3,278,10,0,1,1,0,0,0.9,134,1,19,0,3,11,0,233696
145,1814,9,1.4,2,3556,16,1,1,1,0,0,0.4,141,0,18,12,1,2,3,594216
146,1101,31,1.8,2,2196,19,0,0,0,1,0,0.2,148,1,12,6,0,7,1,491103
147,1461,40,2.4,7,3799,4,1,1,1,0,0,0.5,141,0,16,1,3,4,3,1641970
148,1216,47,3.0,3,2268,4,0,0,0,1,0,0.4,199,1,13,5,4,7,2,3642884
149,506,41,1.6,1,2965,15,0,1,1,0,0,0.8,159,0,13,10,6,7,2,896875
150,843,56,0.5,5,2341,20,0,1,1,1,1,0.1,147,1,10,1,1,17,1,112000
151,742,56,2.2,7,3557,12,1,0,0,1,0,0.2,190,1,16,11,4,14,3,784143
152,1692,61,2.1,6,1354,19,0,1,1,0,1,0.9,176,0,16,7,3,12,1,1946100
153,1485,32,1.0,2,2147,11,0,1,1,0,0,0.7,84,1,19,1,2,9,2,516630
154,1547,45,2.9,2,505,3,1,0,0,1,0,0.7,166,1,12,2,6,8,0,343970
155,1692,46,2.3,1,1394,6,1,1,1,0,0,0.9,139,1,16,10,4,6,1,1297450
156,637,60,2.3,4,374,8,0,1,1,1,0,0.8,97,0,18,4,3,4,0,2237625
157,1224,6,0.5,6,506,11,0,1,1,1,0,0.4,109,1,10,0,16,18,0,617022
158,1356,29,2.8,6,3702,19,0,0,0,0,0,0.5,198,0,17,0,0,0,3,3196596
159,1840,34,0.5,1,1078,10,1,0,0,0,0,0.7,142,0,8,0,12,16,1,480495
160,1481,37,0.7,5,2945,16,1,1,1,1,1,0.6,96,1,10,5,4,13,2,177828
161,961,51,1.5,6,2981,7,1,1,0,1,1,0.3,152,1,15,6,10,16,2,344034
162,1296,14,0.9,5,490,4,1,1,1,1,0,0.5,124,1,7,1,0,3,0,1031592
163,1193,26,0.9,1,536,4,0,1,0,1,0,0.5,166,0,17,14,11,20,0,1262170
164,1441,3,2.1,8,2317,7,1,1,1,1,0,0.1,118,0,16,4,11,17,2,617967
165,517,33,1.4,4,3704,11,1,1,1,1,0,0.8,183,0,17,16,3,8,3,642840
166,748,27,1.7,8,2126,7,0,1,1,0,1,0.9,150,0,18,9,0,4,1,699300
167,1126,10,2.4,6,2050,12,0,1,1,1,1,0.4,160,1,7,6,2,3,2,1970253
168,1572,58,0.6,7,2462,10,0,1,1,0,0,0.2,157,0,12,8,0,8,3,2148133
169,1569,44,2.8,4,1260,17,1,1,0,0,0,0.3,110,0,9,2,17,20,1,87390
170,1270,32,0.6,7,3770,13,1,1,1,0,1,0.5,101,1,5,3,2,6,3,252655
171,1854,8,3.0,5,1886,20,0,1,1,0,0,0.1,101,1,17,4,2,5,1,317262
172,625,10,1.2,4,3323,7,1,1,1,1,1,0.2,183,1,9,1,5,8,2,534670
173,1577,42,0.5,5,2060,12,1,1,1,0,0,0.3,197,0,19,6,0,4,2,1815165
174,534,16,0.5,5,3926,20,1,1,1,0,0,1.0,189,0,16,12,0,1,3,471207
175,946,25,1.7,6,2177,13,1,1,1,1,0,0.8,143,1,7,5,8,15,2,1131000
176,685,29,0.5,7,728,4,0,0,0,1,0,0.8,93,0,14,8,2,10,0,280584
177,1949,23,1.3,5,2478,20,1,1,0,0,0,0.1,101,0,14,8,0,1,3,953104
178,947,22,0.8,2,2842,2,1,1,1,0,0,0.1,197,0,16,12,0,13,2,1434720
179,801,63,2.2,7,1617,19,1,0,0,1,1,0.4,165,0,17,4,2,4,1,571350
180,703,30,2.7,1,1472,7,0,1,1,0,1,0.3,113,0,14,7,12,20,0,232170
181,1165,41,2.4,6,764,15,0,1,0,0,1,0.2,178,0,19,12,11,12,0,468684
182,1082,38,0.8,8,2337,17,0,0,0,1,0,0.1,198,1,6,1,0,5,2,1174326
183,959,20,2.6,4,3965,6,1,1,0,0,1,1.0,84,0,16,1,15,19,3,914991
184,1502,54,1.2,5,3693,16,0,1,0,0,1,0.2,138,1,17,14,0,12,3,38220
185,1380,4,2.1,3,797,15,1,1,1,0,1,0.8,92,1,13,2,1,13,0,210000
186,1266,5,0.5,6,1687,18,0,1,1,0,0,0.1,95,0,11,0,0,9,2,2317770
187,1934,46,2.6,1,2940,2,1,1,1,1,1,0.1,103,1,13,9,0,17,3,804081
188,1905,6,0.5,1,1545,10,0,1,1,0,1,0.5,151,1,9,5,3,5,1,762402
189,1831,43,1.4,5,3834,13,1,1,0,1,0,0.9,150,1,17,7,2,5,3,843791
190,596,46,1.4,1,2505,15,0,1,0,0,0,0.6,165,1,15,4,8,18,1,937752
191,1562,7,1.3,5,2243,6,1,1,1,0,1,0.2,190,0,12,10,1,15,2,984186
192,1490,64,0.5,8,3600,7,1,1,1,1,1,0.3,150,1,17,9,4,8,3,2074488
193,1523,57,2.4,2,3971,10,0,1,1,1,1,0.2,117,1,18,12,5,6,3,133133
194,640,20,0.6,4,2844,18,0,1,0,0,0,0.1,163,1,7,5,0,15,2,837090
195,1526,23,2.1,7,2227,3,0,1,1,0,0,0.2,117,1,18,10,1,8,2,539218
196,1989,41,2.5,3,1665,12,1,1,1,1,0,0.8,94,1,17,9,0,13,2,1646700
197,1308,61,1.9,3,3355,4,0,1,1,1,0,0.7,106,0,15,2,0,7,3,71685
198,609,26,0.5,4,1866,14,0,1,0,1,0,0.3,93,1,11,10,3,4,1,1827224
199,1905,36,0.6,3,1287,16,1,1,1,0,0,0.4,119,0,13,4,9,20,1,1272150
200,1703,22,0.5,1,1046,13,0,1,1,1,1,0.6,192,0,5,4,0,0,0,353210
201,1445,20,2.4,7,1441,13,1,1,1,1,1,0.4,173,1,7,4,7,15,1,1712185
202,1087,16,1.3,3,690,6,0,1,1,1,0,0.3,166,0,14,6,0,9,0,173755
203,671,30,0.9,7,2504,15,1,1,0,0,0,0.7,105,0,6,4,10,17,2,1007064
204,1472,61,2.3,6,2677,8,0,1,0,0,1,0.1,168,0,19,15,6,19,2,746920
205,765,47,0.5,8,2243,4,1,1,1,1,0,0.3,115,0,11,7,0,1,2,1824833
206,1642,8,0.5,6,2984,17,1,1,1,1,0,0.3,171,0,13,4,16,17,2,112617
207,1265,49,1.5,5,1362,12,0,0,0,1,0,0.7,182,0,5,0,7,16,1,576840
208,664,51,1.1,7,3629,6,1,1,1,1,1,0.1,110,1,19,15,1,4,3,1036078
209,1277,35,0.5,6,3559,6,1,1,1,0,1,0.4,142,1,18,17,0,6,3,451140
210,1395,23,1.8,3,2571,13,1,1,0,1,0,0.1,111,0,11,0,0,1,2,150165
211,1539,41,2.6,8,2107,10,0,1,0,1,1,0.1,159,0,15,9,0,0,2,1852592
212,1049,63,2.2,5,1022,13,0,0,0,0,1,0.5,135,0,11,3,9,17,0,214323
213,1827,39,1.7,5,2844,10,0,1,1,0,0,0.5,128,1,14,9,4,16,2,56100
214,903,50,1.0,1,711,10,1,1,1,0,0,0.4,91,1,9,5,0,0,0,1519050
215,1987,53,0.5,3,3117,8,0,1,1,1,1,1.0,181,1,18,5,3,7,3,1594832
216,1154,49,1.2,8,978,7,1,1,1,1,0,0.2,181,0,5,3,0,2,0,810959
217,1336,17,0.9,5,1869,16,0,1,1,1,0,0.2,194,1,13,1,5,9,1,32065
218,1886,24,0.5,3,1179,20,0,1,1,1,0,0.4,112,0,16,7,0,1,1,1584022
219,1551,51,1.1,5,3844,4,0,0,0,0,0,0.1,88,1,11,8,4,6,3,3467310
220,850,29,1.6,5,593,10,1,1,1,1,1,0.5,133,0,19,17,6,19,0,259368
221,660,40,0.5,2,588,18,0,1,1,1,0,0.5,111,1,6,5,5,10,0,308636
222,1225,13,2.1,4,3836,11,1,0,0,0,1,0.5,116,0,12,11,8,12,3,1065636
223,1452,25,0.5,6,2669,13,1,1,1,0,1,0.9,123,0,12,10,1,11,2,43680
224,1686,38,2.8,4,2958,2,1,0,0,0,1,0.1,166,0,14,11,3,4,3,576841
225,1634,17,1.4,2,3031,6,0,1,1,1,1,0.2,200,1,11,6,1,5,3,1616628
226,1708,49,2.4,1,3388,16,1,1,1,1,1,0.1,109,1,6,4,18,19,3,120461
227,1151,31,2.9,8,2377,13,1,0,0,0,1,0.6,128,1,18,8,0,1,2,1594320
228,1578,37,1.9,4,2458,3,1,1,1,1,0,0.1,138,0,19,16,2,19,2,503886
229,1689,24,1.8,3,2766,7,0,0,0,1,0,0.3,127,1,7,2,17,18,3,1144800
230,1488,39,0.5,5,3054,19,0,0,0,0,0,0.8,112,0,14,10,1,6,3,2516616
231,1313,9,1.8,1,3791,6,1,0,0,1,1,0.4,105,1,11,10,4,6,3,544128
232,1715,31,1.0,8,625,13,1,1,1,0,0,0.5,83,0,17,6,4,17,0,1030370
233,1442,27,1.0,3,2227,20,1,1,0,0,0,0.1,192,1,6,5,0,19,1,158697
234,528,6,1.7,2,3256,6,0,1,1,0,0,0.8,142,1,9,8,12,15,2,365638
235,1523,11,1.8,1,707,19,0,1,1,0,1,0.1,129,1,19,8,6,8,0,237688
236,1133,42,1.4,5,1457,20,0,1,0,1,0,0.1,199,0,18,12,3,12,1,1126390
237,1718,6,2.5,5,3755,8,1,1,1,1,1,0.1,183,1,7,1,14,16,3,552720
238,1330,38,0.5,7,1733,11,0,1,0,1,0,1.0,183,0,9,0,0,1,1,1858890
239,1799,49,0.5,4,720,11,0,1,0,1,1,0.4,107,1,12,2,0,2,0,874056
240,633,49,2.2,8,3560,16,0,1,1,1,1,0.1,139,1,11,1,0,1,2,533761
241,724,44,2.7,7,2311,7,1,1,0,0,0,0.5,187,0,7,6,0,0,2,2232842
242,822,51,0.5,6,3846,3,0,1,1,0,1,0.3,157,0,10,1,0,20,3,573620
243,1918,10,1.9,5,1717,16,0,1,0,1,0,0.6,110,1,7,1,2,10,2,1805310
244,1891,37,2.8,7,3704,11,0,1,1,0,0,0.4,129,0,8,6,7,14,3,187252
245,1373,50,1.0,7,3800,14,1,1,0,0,1,0.2,127,0,8,3,2,12,3,70665
246,862,23,0.8,2,278,11,1,0,0,1,1,0.4,165,0,16,3,3,15,0,1394094
247,1273,48,1.0,4,1767,11,0,1,1,0,0,0.4,99,1,18,15,3,15,1,434140
248,957,7,2.5,5,1846,7,0,1,0,1,1,0.8,107,0,12,5,4,10,1,1783485
249,1617,30,1.3,2,829,10,1,1,1,0,1,0.7,105,0,9,0,3,4,0,255348
250,893,55,2.5,2,2986,6,1,0,0,1,0,0.6,183,1,7,1,0,1,2,394482
251,1210,63,0.5,5,2394,7,0,0,0,0,0,0.1,93,0,17,9,0,0,2,1720774
252,708,63,2.7,8,2169,7,1,1,1,1,1,1.0,195,1,6,5,0,7,1,51012
253,835,7,1.1,4,1181,15,1,1,0,1,0,0.2,101,1,13,5,2,7,0,518092
254,1450,19,2.7,1,575,12,1,0,0,0,1,0.6,131,0,15,9,9,17,0,1330574
255,973,57,1.5,7,2977,2,0,1,1,0,1,0.2,190,0,6,4,5,16,2,829912
256,601,4,1.4,4,532,10,0,1,1,1,1,0.1,154,1,12,8,4,13,0,272340
257,507,32,0.5,7,1702,5,1,1,0,1,1,0.5,141,1,17,0,1,11,1,1308528
258,564,51,1.8,3,1074,15,1,1,1,0,0,0.5,168,1,14,8,0,1,0,1805760
259,1559,6,1.6,6,3352,3,1,1,1,1,1,0.5,162,1,9,1,6,17,3,279061
260,754,59,0.5,7,1027,5,1,1,1,0,0,0.7,178,0,6,3,7,10,1,3690192
261,728,25,2.7,4,2039,12,1,1,0,1,0,0.2,88,1,5,1,0,1,1,804254
262,1431,56,0.5,1,461,8,0,1,1,0,1,0.6,191,0,7,3,0,1,0,148512
263,767,28,1.5,4,527,15,0,0,0,0,0,0.7,175,1,10,0,4,10,0,521848
264,1722,18,2.6,2,3271,15,0,1,0,1,0,0.8,177,0,14,0,8,16,3,1505965
265,1992,57,1.6,2,606,4,0,1,1,1,1,1.0,100,1,9,3,5,15,1,2476992
266,1876,40,0.5,6,2513,16,0,1,1,0,0,0.3,86,1,10,8,10,14,3,853944
267,1054,38,1.1,6,1675,14,1,1,1,1,0,0.4,136,1,18,4,10,12,1,1340534
268,1283,47,1.6,5,2698,17,1,1,0,0,1,0.9,93,1,9,6,4,5,2,257424
269,1281,28,2.3,1,1129,6,1,0,0,0,1,0.3,148,1,12,1,0,6,1,2077845
270,1066,7,0.6,7,468,6,0,1,1,0,0,0.9,114,1,19,13,2,18,0,1951182
271,730,4,2.1,8,1210,4,1,1,1,1,0,0.1,89,1,19,15,0,2,0,376594
272,1053,45,0.8,1,3086,5,1,1,1,1,1,0.3,103,1,17,6,7,12,3,1049598
273,1611,3,0.5,3,1595,9,1,1,0,1,1,0.6,98,0,8,4,11,14,1,216342
274,793,30,1.0,2,2332,14,1,1,1,1,0,0.9,133,1,17,13,5,15,2,3595230
275,1220,62,2.9,4,2589,15,0,1,0,1,0,0.5,125,1,19,11,3,8,2,778999
276,1662,61,0.5,4,3760,13,0,1,1,1,0,0.8,126,1,9,5,0,13,3,48288
277,1281,8,2.8,4,1851,9,1,1,1,0,1,0.3,144,1,8,2,3,19,1,562860
278,538,2,0.8,7,417,9,0,1,1,1,0,0.8,177,0,8,4,12,13,0,155570
279,823,39,0.5,8,294,11,0,0,0,1,1,0.4,187,0,13,9,0,4,0,559440
280,1733,36,2.8,6,3576,9,0,1,1,0,1,1.0,119,0,17,16,3,20,3,188139
